S.NO,Question,Answer,Entity Extraction by human,(Fact or Claim) Extraction by human,(Entity + Fact) Extraction by LLM,Only Entity Extarction,Key-Phrases Extraction (using KeyBERT),(Entity + Key Phrases) Extarction,Flesch-Kincaid Grade Level,Flesch Reading Ease,Gunning Fog Index,SMOG Index,Coleman-Liau Index,
5,"I am writing to enquire about my recent termination due to pregnancy. Conpany is claiming that they have made up their mind for me to do a graceful exit by me resigning from the company but the instances that took place after i sent the pregnancy mail to my director and report manager and after half an hour i got the call from HR to either do graceful exit or they will terminate me. There were no formal communication that happened with me that states about my performace or etc but they claim that they are doing this because of my performance but before that I didn’t get any mail or any warning from the HR. They didn’t give me any notice or prior information about it. I asked them to provide me atleast maternity benifit or to give me one day to think but they denied and hence they terminated me. I am stuck in my head if i should file a case against them or not( Indore, Madhya Pradesh )","Dear Client,It's illegal for employers to discriminate against a woman employee based on her employment status or pregnancy status. An employer cannot discriminate against a woman employee based on her pregnancy status during her pregnancy or post-pregnancy, affecting her maternity rights. Section 12 of the Act explicitly prohibits employers from dismissing or terminating a woman’s employment on account of her pregnancy or absence due to maternity leave. The Maternity Benefit Act 1961 states that a woman employee can apply for Maternity leave regardless of her nature or category of employment, i.e, probation, intern, casual, contractual, or permanent if she has worked with the employer for 80 days in the last 12 months immediately preceding the date of her expected delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is duty-bound to approve her leave and disburse to her all the monetary benefits available under the Act. Once you are eligible for maternity leave, you are entitled to avail of 26 weeks of maternity leave with full pay and return to your job, and the employer can not fire you from employment because of absence from work owing to pregnancy. Employers cannot even alter the terms of employment or service conditions to a woman’s disadvantage because she availed of maternity leave. However, in cases of proven gross misconduct, employers may deny maternity benefits, but the denial must be communicated in writing to the woman employee. Section 27 of the Act ensures that maternity rights are protected during this period, preventing misuse of contract expiry as a reason to deny maternity benefits. Employers who unlawfully terminate or deny maternity benefits to women employees may face severe penalties under Sections 21 and 22 of the Act, including fines up to Rs 5000 and imprisonment up to 5 years or both, once and aggrieved employee bring the matter to the notice of the competent authority i.e, the concerned office of the Labour Commissioner/ Inspector, Shops & Establishment, State Health & Family Welfare Deptt concerned by filing a complaint against the employer for arbitrary and illegal action affecting your maternity rights that amounted to unfair labour practice. Apart from the provisions of the Maternity Benefit Act, termination or dismissal other than a disciplinary action for proven misconduct amounts to illegal termination/ retrenchment and is defined as an industrial dispute under Section 2A of the Industrial Dispute Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the I D Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. Any Termination of a workman is covered under the Industrial Disputes Act, and it falls under ‘Retrenchment’. In the case of Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC, the Supreme Court held that The expression ‘retrenchment’ is not to be understood in its narrow, natural and contextual meaning, but is to be understood in its wider, literal meaning to mean termination of service of a workman for any reason whatsoever. Further, in the case of Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219, the Supreme Court ruled that the expression retrenchment must include every termination of the services of a workman by an act of the employer. In that scenario, the terminated employee/workman serving a legal notice to the employer can raise an industrial dispute before the concerned Labour Commissioner for redressal of the complaint failing which he/she can approach directly the Industrial Tribunal/Labor Court concerned for adjudication provided he/she is not holding the position of Manager/Supervisor but a workman as defined u/s.2(s) of the Industrial Dispute Act. Otherwise, in case he/she is holding the position of Manager/Administrative Officer in the Company, he/she has to file a civil suit before the Civil Court seeking appropriate relief in the matter. If required, you may seek professional advice from an Advocate experienced in service matters to navigate the matter correctly and legally.","Woman employee | pregnancy status | Maternity benifit act 1961 | Section 12 | Section 27 | Section 21 and 22 | Labour Commissioner | Industrial Disputes Act | Section 2A of the ID Act | Supreme Court | Case: Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC | Case: Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219 | Industrial Tribunal / Labour Court | Civil Court",Illegal for employers to discriminate against a woman | cannot dismiss or terminate employment | cannot alter service conditions to a woman’s disadvantage | eligible for 26 weeks maternity leave | before or within 6 months from delivery | duty-bound to approve maternity leave | fines up to ₹5000 | imprisonment up to 5 years | illegal termination/retrenchment | filing civil suit in Civil Court | Legal advice from advocate,"{'pregnancy status', 'section 22', 'section 2(s)', 'industrial dispute', 'section 2a', 'sec.25f', 'maternity benefit act 1961', 'maternity leave', 'full pay', 'gross misconduct', 'unfair labour practice', 'sec.25n', 'maternity rights', 'retrenchment', 'disciplinary action', 'section 27', 'industrial dispute act, 1947', 'labour practice', 'section 21', 'section 12', 'illegal termination'}

Precision: 0.66
Recall: 0.466
F1-Score: 0.549","{Section 12, Maternity Benefit Act 1961, Section 27, Sections 21 and 22, Maternity Benefit Act, Section 2A, Industrial Dispute Act, 1947, Sec.25F and 25N, I D Act, Industrial Disputes Act, Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC, Supreme Court, Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219, Supreme Court, s.2(s), Industrial Dispute Act}

Precision: 0.76
Recall: 0.44
F1-Score: 0.56","{illegal action affecting maternity, disburse monetary benefits available, meaning mean termination service, probation intern casual contractual, seek professional advice, immediately preceding date expected, sections, santosh gupta, meaning understood wider, 27}

Precision: 0.3
Recall: 0.11
F1-Score: 0.16","Precision: 0.59
Recall: 0.5
F1-Score: 0.54",17.43550725,23.49195652,21.27536232,18.52266654,13.37333333,
,,"Dear Client,Based on what you've described, termination due to pregnancy without prior warning, without notice, and without processing maternity benefits is a violation of Indian labor laws, especially the Maternity Benefit Act, 1961, and provisions under the Industrial Disputes Act, 1947.Go to your local Labour Commissioner’s Office and submit a written complaint. Attach all emails, messages, and notes on calls (even memory-based timelines help). Mention that you were terminated within hours of informing your pregnancy, and were denied maternity benefits or notice.Consult a Labour Lawyer and send a legal notice on your behalf demanding compensation, reinstatement, or maternity benefits. If unresolved, you can file a case in the Labour Court or Tribunal.",Maternity Benifit Act| Industrial Disputes Act | labours commissioners office | Labour Court | Tribunal ,"go to labour commissioners office | file a written complaint | attach emails, and notes on calls | terminated within hours of informing your pregnancy |  denied maternity benifits | consult labour lawyer | send legal notice | demand compensation, reinstatement | ","{'termination due to pregnancy', 'maternity benefit act, 1961', 'maternity benefits', 'labour court', 'labour lawyer', 'industrial disputes act, 1947', 'legal notice'}

Precision: 0.85
Recall: 0.42
F1-Score: 0.57","{Indian labor laws, Maternity Benefit Act, 1961, Industrial Disputes Act, 1947.Go}


Precision: 0.4
Recall: 0.15
F1-Score: 0.22","{maternity benefits violation indian, help mention terminated hours, legal notice behalf demanding, labour, attach emails messages, unresolved file, notes calls memory based, especially, client based ve described, 1947 local}


Precision: 0.5
Recall: 0.38
F1-Score: 0.43","Precision: 0.46
Recall: 0.53
F1-Score: 0.50",14.13107143,26.9972619,17.10952381,15.47004243,15.13571429,
6,"My new company signed a bond from me that if I do not join on a decided date they will encash my cheque of one month CTC ( they have taken at LOI sharing) Now I do not want to join that company as I got some better opportunity.( Palwal, Haryana )","Dear Sir,You have done a blunder mistake by giving cheque to the company. Just take away all the amount from your said SB account or close the same so that the company cannot encash any amount form your bank account.",,take away all the amount from your said SB account | close the same,"{'cheque', 'no acts or sections mentioned.', 'bank account'}


Precision: 0.33
Recall: 0.33
F1-Score: 0.33",{},"{mistake giving cheque company, account close, bank, blunder mistake giving, sb, dear sir blunder, encash form, company just away said, giving, said}


Precision: 0.3
Recall: 0.6
F1-Score: 0.4","Precision: 0.30
Recall: 0.60
F1-Score: 0.4",8.73,68.095,8,8.841846275,7.95,
,,"Dear Client,In the relationship between an employer and employee that is governed by an appointment letter or offer letter, followed by a service bond in some cases, documents like a post-dated cheque or a letter of intent do not take place, which may be considered unfair labour practice on contest. However, the actions of the management can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract u/s.73 and Section 74 of the Act unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company, reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance. Further, the SAMADHAN Portal was launched by the Ministry of Labour and Employment to facilitate the filing of industrial disputes by the workmen, employers, and trade unions under the Industrial Disputes Act, 1947. The online portal has a user-friendly interface and has enhanced transparency and efficiency of grievance resolution for all stakeholders. The workmen/trade unions/management can file their disputes and claims by logging into the portal through the UMANG app and also by visiting the nearest Common Services Centres.",Letter of intent | Section 27 of Indian Contract Act 1872 | section 73 | section 74 | Sec 2(s) Industrial Dispute Act | Labour commissioner | Cheif Inspector | Shops and Establishment act | SAMADAN portal | Ministry of Labour and employment | UMANG,post dated cheque or letter of intent doesnt take place | actions of management can be challenged | any agreement that put restriction on employee are not valid | employer can prove the employee is joining the compititor to disclose a trade secret | unliquidated damages | liquidated damages | no compensation for mere breach of contract | unless there is damage to company | serving legal notice | reach out to concerned lanbour commissioner |  file a complaint | unfair labour practise | use SAMADAN portal,"{'umang app', 'liquidated damages', 'sec.2(s)', 'section 74', 'unfair labour practice', 'section 73', 'breach of contract', 'alleged unfair labour practice', 'samadhan portal', 'legal notice', 'unliquidated damages', 'indian contract act,1872', 'section 27', 'industrial disputes act, 1947'}


Precision: 1
Recall: 0.518
F1-Score: 0.682","{Section 27, Indian Contract Act,1872,, Section 27, Indian Contract Act,1872,, Section 73, Section 74, s.73 and Section 74, Sec.2(s), Industrial Dispute Act, 1947, SAMADHAN Portal, Ministry of Labour and Employment, Industrial Disputes Act, 1947}


Precision: 0.91
Recall: 0.37
F1-Score: 0.53","{facilitate filing industrial disputes, employee serve employer restriction, section 27 indian, competitor disclose trade secret, letter offer letter, documents like post dated, samadhan portal launched, prevailing situation holding position, indirectly, interface enhanced transparency}


Precision: 0.4
Recall: 0.166
F1-Score: 0.23","Precision: 0.68
Recall: 0.48
F1-Score:  0.56",16.46404255,32.83166667,19.44822695,17.1224134,12.51755319,
,,"Dear Client,In situations like yours, where a new company has taken a cheque and signed a bond for your future employment, getting out of the obligation without penalties can be complex. Typically, a Letter of Intent isn't fully binding, but specific clauses within it, such as those related to a bond or financial penalties for not joining, can be enforceable.Employment bonds are common, aiming to recover costs if you don't join or leave prematurely, but their enforceability often hinges on being ""reasonable"" and not an unreasonable restraint of trade under Section 27 of the Indian Contract Act. This means the company generally needs to prove actual losses incurred, not just claim an arbitrary sum. Furthermore, companies taking a cheque as security is a questionable practice, and if they try to encash it, it must be for a ""legally enforceable debt or liability"" to avoid issues like a cheque bounce case under Section 138 of the Negotiable Instruments Act.",Letter of intent | Section 27 | Indian contract act | Section 138 | Negotiable Instruments Act,getting out without penalties is complex | financial penalties for not joining can be enforceable | company needs to prove actual losses incurred | companies taking cheque is a questionable practice | legally enforceable debt or liability | avoid issues like cheque bounce,"{'indian contract act', 'cheque bounce case', 'section 27', 'negotiable instruments act', 'section 138', 'legally enforceable debt', 'restraint of trade', 'employment bonds'}


Precision: 0.75
Recall: 0.54
F1-Score: 0.631","{Section 27, Indian Contract Act, Section 138, Negotiable Instruments Act}


Precision: 1
Recall: 0.36
F1-Score: 0.53","{joining enforceable employment bonds, cheque security questionable practice, indian contract act means, typically letter intent isn, isn fully binding specific, recover costs don, client situations like new, try encash, needs prove actual, 27 indian}


Precision: 0.5
Recall: 0.41
F1-Score: 0.45","Precision: 0.64
Recall: 0.69
F1-Score: 0.66",16.74918987,31.26226582,19.47544304,17.1224134,12.1164557,
7,"Bill issued in the name of a company whose proprietor is Mr.X ,now he opt for running a partnership medicine business with another person in the new name , in that case the land lord will take any legal action or eviction for the same and if land lord sues against the person who has given salami to occupy the room for his solepropreitroship business( Kolkata, West Bengal )","Dear Client,A person can run a business in the form of proprietorship, partnership, or a Private limited company. However, any alteration or modification in the nature and constitution of the business requires compliance with the terms and conditions of a contract and necessitates a fresh contract or agreement with the new entity or business to make that contract or agreement enforceable under the relevant law. Before the business's status changes, the owner should negotiate with the landlord; failing to do so may result in legal consequences, including forfeiture of the salami and eviction from the business premises.",proprietorship | partnership | Private limited ,compliance with term and conditions | necessitates a fresh contract | under relevant law | owner must negotiate with land lord | failing may result in legal consequences | forfeiture of salami | eviction from business premesis,"{'proprietorship', 'eviction', 'fresh contract', 'private limited company', 'forfeiture of salami', 'legal consequences', 'partnership'}


Precision: 1
Recall: 0.7
F1-Score: 0.82",{},"{run business form proprietorship, contract agreement new entity, company alteration modification nature, conditions contract necessitates fresh, negotiate landlord, status changes owner, legal consequences including, dear client, salami, person run}


Precision: 0.4
Recall: 0.4
F1-Score: 0.4","Precision: 0.4
Recall: 0.4
F1-Score:  0.4",18.67360825,18.77130584,22.41786942,19.620378,14.25773196,
,,"Dear Sir,There will be some problems if land lord wish to take action otherwise no problem will arise. It depends upon payment of regular rents and advance amount and if the tenant does not cause any problem to the landlord.",,land lord wish | depends upon payment of regular rents | teanant does not cause any problem,"{'regular rents', 'payment of rent', 'advance amount'}


Precision: 0.66
Recall: 0.4
F1-Score: 0.5",{},"{does cause problem landlord, sir problems land lord, regular rents advance tenant, problem arise, arise depends payment regular, land, dear sir, cause, does, wish action}


Precision: 0.7
Recall: 0.87
F1-Score: 0.77","Precision: 0.7
Recall: 0.87
F1-Score: 0.77",9.025,65.98,9,8.841846275,9.11,
,,"Dear Client,When Mr. X, operating a sole proprietorship, forms a new partnership to continue his medicine business in a rented premise, the landlord may have grounds for legal action, including eviction.The primary concern for the landlord would be an unauthorized change in tenancy or deemed subletting, as most rental agreements and tenancy laws prohibit transferring possession or subletting without the landlord's written consent. While a partnership is not a distinct legal entity in the same way as a company, the introduction of a new partner and a new business name could be interpreted as a change in the original tenant's status and control over the premises, potentially triggering eviction clauses.If the landlord successfully sues for eviction, Mr. X, as the original tenant who paid ""salami"" would likely forfeit that payment, in addition to facing legal costs and the loss of the business premises.To mitigate risk, Mr. X should review his original lease agreement, consult a lawyer , and ideally, seek the landlord's formal written consent for the partnership arrangement.",Sole proprietorship | Mr X | Landlord | Lease agreement | Rented premises,may have grouond for legal actions | unauthorized change in tenancy | prohibit transferring possession | without landlord written concent | Eviction clauses may be triggered | legal costs and loss of business premises | review original formal written consent ,"{'deemed subletting', 'change in tenancy', 'no specific section is mentioned', 'negotiable instruments act, 1881 is not mentioned in the text, however:', 'legal costs', 'unauthorized change', 'no specific act is mentioned', 'forfeiting payment', 'loss of premises', 'eviction clauses'}


Precision: 0.5
Recall: 0.35
F1-Score: 0.41","{X, X}


Precision: 1
Recall: 0.083
F1-Score: 0.153","{agreement consult lawyer ideally, tenancy deemed subletting rental, eviction mr, company introduction, costs loss business, operating sole, paid salami likely, premises potentially triggering, continue medicine, distinct}


Precision: 0.4
Recall: 0.33
F1-Score: 0.36","Precision: 0.45
Recall: 0.41
F1-Score: 0.43",13.46071429,35.95928571,16.97142857,15.57974185,13.58571429,
8,"Is it justified to extend notice period upto 3 months as a part of promotion without prior notice, in appointment letter it's 1 month( Roorkee, Uttarakhand )","Dear Client,Section 9A of the Industrial Disputes Act, 1947 mandates that employers provide a 21-day notice to both the affected workmen and the relevant labor authorities before making adverse changes to their service conditions. The state-specific Shops and Establishments Act applies to shop and establishment employees who are not covered under the ID Act, such as those in managerial or administrative positions, and varies from state to state. The S & E Act also regulates the terms of service of the employees engaged in shops and commercial establishments. So, So, in the absence of a notice under Section 9A of the I D Act or specific stipulation in the appointment letter or subsequent revision of the terms of employment, the extension of the notice period is considered unfair labour practices as defined under Section 2(ra) of the Industrial Dispute Act, 1947. In that situation, an aggrieved employee or workman, serving a legal notice to the Company, can escalate his or her grievance over alleged unfair labour practice to the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, for redressal of their grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. Fuurther, if you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult or hire an Advocate experienced in service matters to navigate the issue in the right way.","Section 9A | Industrial Disputes Act 1947 | Shops and Establishments Act | ID Act | Section 2(ra) of the ID Act | Shops and Establishments Act | Labour Commissioner | Chief Inspector, Shops and Establishments | Civil Court | Division Bench of Karnataka | High Court | Case: Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR","21 day notice period | contractual stipulation is an unfair labour practice | Aggrieved workman/employee can escalate grievance | serving legal notice | approaching Labour Commissioner/Chief Inspector | Managers/Administrators must file a civil suit | employees can be considered ""workmen"" | consult an advocate experienced in service matters","{'notice period', 'section 2(ra)', 'unfair labour practices', 'alleged unfair labour', 'industrial disputes act, 1947', 'grievance redressal', 'section 9a', 'civil court', 'labour commissioner', 'advocate consultation', 'section 2(s)', 'chief inspector', 'legal notice', 'shops and establishments act', 'it sector employees', 'workmen', 'civil suit'}


Precision: 0.82
Recall: 0.66
F1-Score: 0.73","{Section 9A, Industrial Disputes Act, 1947, state-specific Shops and Establishments Act, ID Act, S & E Act, Section 9A, I D Act, Section 2(ra), Industrial Dispute Act, 1947, Karnataka High Court, Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR, Section 2(s), Industrial Dispute Act, 1947}


Precision: 0.91
Recall: 0.47
F1-Score: 0.62","{unfair labour practice concerned, id act managerial administrative, extension notice period considered, practices defined, commissioner income tax texas, state specific shops, act 1947, 9a, 2021 435 itr, navigate issue}


Precision: 0.7
Recall: 0.35
F1-Score: 0.46","Precision: 0.81
Recall: 0.64
F1-Score: 0.72",18.10126984,27.62428571,21.23809524,18.12316972,12.29904762,
9,"Hello, I am seeking legal advice on domicile rules, basically my father have applied for DSNLU Andhra Pradesh under domicile category without reading the rules and I have got allotted a seat in Category of Andhra Pradesh/Children of Armed Personnel (CAP) of Andhra Pradesh,Women of Andhra Pradesh. I am not sure what all documents are required as I have been living in Delhi and noida and never lived in AP for 7 years but my parents have and also have the permanent residency will that suffice or will I not get the domicile certificate?( Noida, Uttar Pradesh )","Dear Sir,Better you may contact local Advocate having vast experience in respect of subject matter in which you are seeking legal advise. Better take all your documents and explain the background to the local advocate and get effective legal advise.",local Advocate,contact local advocate | take all your documents ,"{'local advocate', 'legal advise'}


Precision: 0.5
Recall: 0.33
F1-Score: 0.4",{},"{seeking legal advise better, background local advocate effective, contact local, advise, legal, vast experience respect subject, better documents, dear sir, having, background}


Precision: 0.3
Recall: 1
F1-Score: 0.46","Precision: 0.30
Recall: 1
F1-Score: 0.46 ",12.27,42.715,14,13.0238668,12.735,
,,"Dear Client,To be eligible for a domicile certificate in Andhra Pradesh, you must be a permanent resident of the state and have resided there for at least seven years. If you are not originally from Andhra Pradesh but are married to a permanent resident, you are also eligible. Additionally, you may be eligible if your parents are permanent residents of the state or if you have property in the state. Your name should be on the voter list of Andhra Pradesh. To apply for a domicile certificate, you have to fill in a prescribed form available from the local revenue office or download it online. enclosing therewith proof of address, such as a passport, voter card, ration card, electricity bill, water bill, telephone bill, or house tax receipt. Visit your local Tehsildar or Mandal Revenue Office (MRO) and submit the application form along with the required documents. A fee of Rs 25 is levied for the issue of a domicile certificate. Once the authority verifies your application, a domicile certificate will be issued to you. You may also apply for a domicile certificate online by logging the official website of the AP Government, MeeSeva. When your parents are permanent residents and hold residential property in Andhra Pradesh for 7 years or more, you can apply for a domicile certificate. For more information and clarification, you may contact the concerned Tehsildar or Mandal Revenue Office.",Domicile certificate | Andhra Pradesh | local revenue officer | passport| voter id | ration card | local tehsildar | Mandal Revenue Officer (MRO) | Mee Seva | ,permanant resident of the state | atleast 7 years | married to a permanant resident | parents are permanant residents | property in the state | name should be in voters list | free of rs 25 | can also apply online | ,"{'prescribed form', 'ration card', 'domicile certificate', 'voter card', 'tehsildar', 'water bill', 'andhra pradesh', 'rs 25', 'meeseva', 'seven years', 'permanent resident', 'electricity bill', 'telephone bill', 'house tax receipt', 'official website', 'voter list', 'mandal revenue office', 'proof of address', 'passport', 'residential property'}


Precision: 0.5 
Recall: 0.55
F1-Score: 0.52","{Andhra Pradesh, Andhra Pradesh, Andhra Pradesh, AP Government, MeeSeva, Andhra Pradesh}


Precision: 0.66
Recall: 0.117
F1-Score: 0.20","{pradesh apply domicile certificate, voter list andhra, meeseva parents permanent, additionally eligible, water telephone house tax, fee rs, logging official website ap, office download, enclosing therewith proof, years}


Precision: 0.3
Recall: 0.17
F1-Score: 0.22","Precision: 0.38
Recall: 0.29
F1-Score: 0.33",11.68166667,46.0425,14.2957265,13.68867019,11.01282051,
10,"Can my child ( under 18) get domicile certificate in maharashtra if parents ( alongwith child) are staying in Maharashtra staying for more then 6 years. ( I see this in clear tax but no othe website) Where is the document of Govt of Maharashtra where domicile requiremet is defined ? Very urgent clarification required for MHT CET admission purpose. Thx in advance.( Pune, Maharashtra )","Dear Sir,You have to contact local lawyers or concerned legal experts or search online to get the definition of ""Domicile"". Some States defined it for five years and other States defined it for seven years. Anyway you may get an opportunity since you have already completed six years in Maharashtra.",Local lawyers | Domicile,contact local lawyers | search online | some states define for 5 years | others define for 7 years | you may get an oppurtunity,"{'seven years', 'domicile', 'five years', 'six years'}


Precision: 0.5
Recall: 0.28
F1-Score: 0.36","{Maharashtra}


Precision: 0
Recall: 0
F1-Score: 0","{completed years maharashtra, contact local lawyers, online definition domicile, lawyers concerned legal experts, legal, search online, opportunity, states defined, defined seven, sir}


Precision: 0.4
Recall: 0.57
F1-Score: 0.47","Precision: 0.36
Recall: 0.57
F1-Score: 0.44",9.554,56.25033333,9.866666667,11.20814326,10.728,
,,"Dear Client,A domicile certificate or a residential certificate is compulsory for MHT CET admission, especially for students seeking admission to Maharashtra State-based colleges. It's used to determine if a candidate is eligible for the Maharashtra state quota and any associated benefits. Any person from the State of Maharashtra could obtain this certificate, provided that he or she has been a resident in the State for the last 15 years. However, in a notification issued on May 13, 2013, the Director of Technical Education (DTE) has stated that the birth certificate or the school leaving certificate (SLC), which mentions the place of birth as in Maharashtra, will be accepted as an alternative to the domicile certificate to be submitted along with the admission form by the Maharashtra state candidates. For further clarification on the subject, you may contact the offices of the Sub-Divisional Magistrate, the Tehsildar’s office, and the District Collector’s office.",Director of Technical Education (DTE) | Birth Certificate | Sub divisional magistrate | Tehsildar's office | District collector's office.,domicile certificate is compulsory for MHT CET | for students seeking admission to Maharastra based colleges | candidate is eligible for Maharastra state quota | resident of state for last 15 years | certificate which says born in maharastra will be accepted as an alternative | for furthur clarrification contact offices of sub divisional magistrate ,"{'residential certificate', 'maharashtra state quota', 'sub-divisional magistrate', 'district collector’s office', 'domicile certificate', 'tehsildar’s office', 'mht cet', 'birth certificate', 'school leaving certificate'}


Precision: 0.88
Recall: 0.57
F1-Score: 0.69","{State of Maharashtra, May 13, 2013, Maharashtra, Maharashtra}


Precision: 0
Recall: 0
F1-Score: 0","{certificate compulsory mht cet, state 15 years notification, alternative domicile, colleges used determine, office district collector office, place birth, clarification subject contact, technical, accepted, quota associated benefits}


Precision: 0.5
Recall: 0.41
F1-Score: 0.45","Precision: 0.35
Recall: 0.41
F1-Score: 0.38",17.75621192,21.54888742,22.14622517,19.08393206,14.06357616,
