S.NO,Question,Answer,Entity Extraction by human,(Fact or Claim) Extraction by human,Answer 1 ->  Answer 2 ,Answer 2 -> Answer 1,Answer 1 ->  Answer 3 ,Answer 3 ->  Answer 1 ,Answer 2 ->  Answer 3 ,Answer 3 ->  Answer 2 
5,"I am writing to enquire about my recent termination due to pregnancy. Conpany is claiming that they have made up their mind for me to do a graceful exit by me resigning from the company but the instances that took place after i sent the pregnancy mail to my director and report manager and after half an hour i got the call from HR to either do graceful exit or they will terminate me. There were no formal communication that happened with me that states about my performace or etc but they claim that they are doing this because of my performance but before that I didn’t get any mail or any warning from the HR. They didn’t give me any notice or prior information about it. I asked them to provide me atleast maternity benifit or to give me one day to think but they denied and hence they terminated me. I am stuck in my head if i should file a case against them or not( Indore, Madhya Pradesh )","Dear Client,It's illegal for employers to discriminate against a woman employee based on her employment status or pregnancy status. An employer cannot discriminate against a woman employee based on her pregnancy status during her pregnancy or post-pregnancy, affecting her maternity rights. Section 12 of the Act explicitly prohibits employers from dismissing or terminating a woman’s employment on account of her pregnancy or absence due to maternity leave. The Maternity Benefit Act 1961 states that a woman employee can apply for Maternity leave regardless of her nature or category of employment, i.e, probation, intern, casual, contractual, or permanent if she has worked with the employer for 80 days in the last 12 months immediately preceding the date of her expected delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is duty-bound to approve her leave and disburse to her all the monetary benefits available under the Act. Once you are eligible for maternity leave, you are entitled to avail of 26 weeks of maternity leave with full pay and return to your job, and the employer can not fire you from employment because of absence from work owing to pregnancy. Employers cannot even alter the terms of employment or service conditions to a woman’s disadvantage because she availed of maternity leave. However, in cases of proven gross misconduct, employers may deny maternity benefits, but the denial must be communicated in writing to the woman employee. Section 27 of the Act ensures that maternity rights are protected during this period, preventing misuse of contract expiry as a reason to deny maternity benefits. Employers who unlawfully terminate or deny maternity benefits to women employees may face severe penalties under Sections 21 and 22 of the Act, including fines up to Rs 5000 and imprisonment up to 5 years or both, once and aggrieved employee bring the matter to the notice of the competent authority i.e, the concerned office of the Labour Commissioner/ Inspector, Shops & Establishment, State Health & Family Welfare Deptt concerned by filing a complaint against the employer for arbitrary and illegal action affecting your maternity rights that amounted to unfair labour practice. Apart from the provisions of the Maternity Benefit Act, termination or dismissal other than a disciplinary action for proven misconduct amounts to illegal termination/ retrenchment and is defined as an industrial dispute under Section 2A of the Industrial Dispute Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the I D Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. Any Termination of a workman is covered under the Industrial Disputes Act, and it falls under ‘Retrenchment’. In the case of Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC, the Supreme Court held that The expression ‘retrenchment’ is not to be understood in its narrow, natural and contextual meaning, but is to be understood in its wider, literal meaning to mean termination of service of a workman for any reason whatsoever. Further, in the case of Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219, the Supreme Court ruled that the expression retrenchment must include every termination of the services of a workman by an act of the employer. In that scenario, the terminated employee/workman serving a legal notice to the employer can raise an industrial dispute before the concerned Labour Commissioner for redressal of the complaint failing which he/she can approach directly the Industrial Tribunal/Labor Court concerned for adjudication provided he/she is not holding the position of Manager/Supervisor but a workman as defined u/s.2(s) of the Industrial Dispute Act. Otherwise, in case he/she is holding the position of Manager/Administrative Officer in the Company, he/she has to file a civil suit before the Civil Court seeking appropriate relief in the matter. If required, you may seek professional advice from an Advocate experienced in service matters to navigate the matter correctly and legally.","Woman employee | pregnancy status | Maternity benifit act 1961 | Section 12 | Section 27 | Section 21 and 22 | Labour Commissioner | Industrial Disputes Act | Section 2A of the ID Act | Supreme Court | Case: Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC | Case: Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219 | Industrial Tribunal / Labour Court | Civil Court",Illegal for employers to discriminate against a woman | cannot dismiss or terminate employment | cannot alter service conditions to a woman’s disadvantage | eligible for 26 weeks maternity leave | before or within 6 months from delivery | duty-bound to approve maternity leave | fines up to ₹5000 | imprisonment up to 5 years | illegal termination/retrenchment | filing civil suit in Civil Court | Legal advice from advocate,"Precision: 0.53
Recall: 0.26
F1-Score: 0.35","Precision: 0.24
Recall: 0.46
F1-Score: 0.31",,,,
,,"Dear Client,Based on what you've described, termination due to pregnancy without prior warning, without notice, and without processing maternity benefits is a violation of Indian labor laws, especially the Maternity Benefit Act, 1961, and provisions under the Industrial Disputes Act, 1947.Go to your local Labour Commissioner’s Office and submit a written complaint. Attach all emails, messages, and notes on calls (even memory-based timelines help). Mention that you were terminated within hours of informing your pregnancy, and were denied maternity benefits or notice.Consult a Labour Lawyer and send a legal notice on your behalf demanding compensation, reinstatement, or maternity benefits. If unresolved, you can file a case in the Labour Court or Tribunal.",Maternity Benifit Act| Industrial Disputes Act | labours commissioners office | Labour Court | Tribunal ,"go to labour commissioners office | file a written complaint | attach emails, and notes on calls | terminated within hours of informing your pregnancy |  denied maternity benifits | consult labour lawyer | send legal notice | demand compensation, reinstatement | ",,,,,,
6,"My new company signed a bond from me that if I do not join on a decided date they will encash my cheque of one month CTC ( they have taken at LOI sharing) Now I do not want to join that company as I got some better opportunity.( Palwal, Haryana )","Dear Sir,You have done a blunder mistake by giving cheque to the company. Just take away all the amount from your said SB account or close the same so that the company cannot encash any amount form your bank account.",,take away all the amount from your said SB account | close the same,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.36
Recall: 0.16
F1-Score: 0.22","Precision: 0.20
Recall: 0.35
F1-Score: 0.26"
,,"Dear Client,In the relationship between an employer and employee that is governed by an appointment letter or offer letter, followed by a service bond in some cases, documents like a post-dated cheque or a letter of intent do not take place, which may be considered unfair labour practice on contest. However, the actions of the management can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract u/s.73 and Section 74 of the Act unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company, reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance. Further, the SAMADHAN Portal was launched by the Ministry of Labour and Employment to facilitate the filing of industrial disputes by the workmen, employers, and trade unions under the Industrial Disputes Act, 1947. The online portal has a user-friendly interface and has enhanced transparency and efficiency of grievance resolution for all stakeholders. The workmen/trade unions/management can file their disputes and claims by logging into the portal through the UMANG app and also by visiting the nearest Common Services Centres.",Letter of intent | Section 27 of Indian Contract Act 1872 | section 73 | section 74 | Sec 2(s) Industrial Dispute Act | Labour commissioner | Cheif Inspector | Shops and Establishment act | SAMADAN portal | Ministry of Labour and employment | UMANG,post dated cheque or letter of intent doesnt take place | actions of management can be challenged | any agreement that put restriction on employee are not valid | employer can prove the employee is joining the compititor to disclose a trade secret | unliquidated damages | liquidated damages | no compensation for mere breach of contract | unless there is damage to company | serving legal notice | reach out to concerned lanbour commissioner |  file a complaint | unfair labour practise | use SAMADAN portal,,,,,,
,,"Dear Client,In situations like yours, where a new company has taken a cheque and signed a bond for your future employment, getting out of the obligation without penalties can be complex. Typically, a Letter of Intent isn't fully binding, but specific clauses within it, such as those related to a bond or financial penalties for not joining, can be enforceable.Employment bonds are common, aiming to recover costs if you don't join or leave prematurely, but their enforceability often hinges on being ""reasonable"" and not an unreasonable restraint of trade under Section 27 of the Indian Contract Act. This means the company generally needs to prove actual losses incurred, not just claim an arbitrary sum. Furthermore, companies taking a cheque as security is a questionable practice, and if they try to encash it, it must be for a ""legally enforceable debt or liability"" to avoid issues like a cheque bounce case under Section 138 of the Negotiable Instruments Act.",Letter of intent | Section 27 | Indian contract act | Section 138 | Negotiable Instruments Act,getting out without penalties is complex | financial penalties for not joining can be enforceable | company needs to prove actual losses incurred | companies taking cheque is a questionable practice | legally enforceable debt or liability | avoid issues like cheque bounce,,,,,,
7,"Bill issued in the name of a company whose proprietor is Mr.X ,now he opt for running a partnership medicine business with another person in the new name , in that case the land lord will take any legal action or eviction for the same and if land lord sues against the person who has given salami to occupy the room for his solepropreitroship business( Kolkata, West Bengal )","Dear Client,A person can run a business in the form of proprietorship, partnership, or a Private limited company. However, any alteration or modification in the nature and constitution of the business requires compliance with the terms and conditions of a contract and necessitates a fresh contract or agreement with the new entity or business to make that contract or agreement enforceable under the relevant law. Before the business's status changes, the owner should negotiate with the landlord; failing to do so may result in legal consequences, including forfeiture of the salami and eviction from the business premises.",proprietorship | partnership | Private limited ,compliance with term and conditions | necessitates a fresh contract | under relevant law | owner must negotiate with land lord | failing may result in legal consequences | forfeiture of salami | eviction from business premesis,"Precision: 0.25
Recall: 0.1
F1-Score: 0.14","Precision: 0.1
Recall: 0.25
F1-Score: 0.14","Precision: 0.08
Recall: 0.1
F1-Score: 0.09","Precision: 0.10
Recall: 0.08
F1-Score: 0.09","Precision: 0.08
Recall: 0.25
F1-Score: 0.12","Precision: 0.25
Recall: 0.08
F1-Score: 0.12"
,,"Dear Sir,There will be some problems if land lord wish to take action otherwise no problem will arise. It depends upon payment of regular rents and advance amount and if the tenant does not cause any problem to the landlord.",,land lord wish | depends upon payment of regular rents | teanant does not cause any problem,,,,,,
,,"Dear Client,When Mr. X, operating a sole proprietorship, forms a new partnership to continue his medicine business in a rented premise, the landlord may have grounds for legal action, including eviction.The primary concern for the landlord would be an unauthorized change in tenancy or deemed subletting, as most rental agreements and tenancy laws prohibit transferring possession or subletting without the landlord's written consent. While a partnership is not a distinct legal entity in the same way as a company, the introduction of a new partner and a new business name could be interpreted as a change in the original tenant's status and control over the premises, potentially triggering eviction clauses.If the landlord successfully sues for eviction, Mr. X, as the original tenant who paid ""salami"" would likely forfeit that payment, in addition to facing legal costs and the loss of the business premises.To mitigate risk, Mr. X should review his original lease agreement, consult a lawyer , and ideally, seek the landlord's formal written consent for the partnership arrangement.",Sole proprietorship | Mr X | Landlord | Lease agreement | Rented premises,may have grouond for legal actions | unauthorized change in tenancy | prohibit transferring possession | without landlord written concent | Eviction clauses may be triggered | legal costs and loss of business premises | review original formal written consent ,,,,,,
8,"Is it justified to extend notice period upto 3 months as a part of promotion without prior notice, in appointment letter it's 1 month( Roorkee, Uttarakhand )","Dear Client,Section 9A of the Industrial Disputes Act, 1947 mandates that employers provide a 21-day notice to both the affected workmen and the relevant labor authorities before making adverse changes to their service conditions. The state-specific Shops and Establishments Act applies to shop and establishment employees who are not covered under the ID Act, such as those in managerial or administrative positions, and varies from state to state. The S & E Act also regulates the terms of service of the employees engaged in shops and commercial establishments. So, So, in the absence of a notice under Section 9A of the I D Act or specific stipulation in the appointment letter or subsequent revision of the terms of employment, the extension of the notice period is considered unfair labour practices as defined under Section 2(ra) of the Industrial Dispute Act, 1947. In that situation, an aggrieved employee or workman, serving a legal notice to the Company, can escalate his or her grievance over alleged unfair labour practice to the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, for redressal of their grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. Fuurther, if you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult or hire an Advocate experienced in service matters to navigate the issue in the right way.","Section 9A | Industrial Disputes Act 1947 | Shops and Establishments Act | ID Act | Section 2(ra) of the ID Act | Shops and Establishments Act | Labour Commissioner | Chief Inspector, Shops and Establishments | Civil Court | Division Bench of Karnataka | High Court | Case: Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR","21 day notice period | contractual stipulation is an unfair labour practice | Aggrieved workman/employee can escalate grievance | serving legal notice | approaching Labour Commissioner/Chief Inspector | Managers/Administrators must file a civil suit | employees can be considered ""workmen"" | consult an advocate experienced in service matters",,,,,,
9,"Hello, I am seeking legal advice on domicile rules, basically my father have applied for DSNLU Andhra Pradesh under domicile category without reading the rules and I have got allotted a seat in Category of Andhra Pradesh/Children of Armed Personnel (CAP) of Andhra Pradesh,Women of Andhra Pradesh. I am not sure what all documents are required as I have been living in Delhi and noida and never lived in AP for 7 years but my parents have and also have the permanent residency will that suffice or will I not get the domicile certificate?( Noida, Uttar Pradesh )","Dear Sir,Better you may contact local Advocate having vast experience in respect of subject matter in which you are seeking legal advise. Better take all your documents and explain the background to the local advocate and get effective legal advise.",local Advocate,contact local advocate | take all your documents ,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0",,,,
